2017-05-19 07 	898
2017-05-19 08 	817
2017-05-19 09 	399
2017-05-19 10 	90
2017-05-19 13 	1
2017-05-19 14 	238
2017-05-19 15 	75
2017-05-19 16 	7
2017-05-19 17 	1
2017-05-19 20 	1
2017-05-20 00 	44
2017-05-20 05 	301
2017-05-20 06 	1246
2017-05-20 07 	823
2017-05-20 08 	707
2017-05-20 09 	389
2017-05-20 10 	67
2017-05-20 11 	3
2017-05-20 14 	194
2017-05-20 15 	33
2017-05-20 16 	4
2017-05-21 00 	46
2017-05-21 05 	286
2017-05-21 06 	1146
2017-05-21 07 	852
2017-05-21 08 	747
2017-05-21 09 	398
2017-05-21 10 	72
2017-05-21 14 	237
2017-05-21 15 	64
2017-05-21 16 	6
2017-05-22 00 	51
2017-05-22 05 	185
2017-05-22 06 	944
2017-05-22 07 	807
2017-05-22 08 	859
2017-05-22 09 	475
2017-05-22 10 	101
2017-05-22 11 	4
2017-05-22 13 	1
2017-05-22 14 	278
2017-05-22 15 	81
2017-05-22 16 	10
2017-05-22 18 	1
2017-05-23 00 	65
2017-05-23 05 	283
2017-05-23 06 	1067
2017-05-23 07 	873
2017-05-23 08 	813
2017-05-23 09 	437
2017-05-23 10 	86
2017-05-23 11 	1
2017-05-23 14 	258
2017-05-23 15 	64
2017-05-23 16 	6
2017-05-24 00 	70
2017-05-24 05 	348
2017-05-24 06 	1020
2017-05-24 07 	944
2017-05-24 08 	888
2017-05-24 09 	463
2017-05-24 10 	87
2017-05-24 11 	1
2017-05-24 14 	273
2017-05-24 15 	44
2017-05-24 16 	8
2017-05-25 00 	74
2017-05-25 05 	389
2017-05-25 06 	1018
2017-05-25 07 	844
2017-05-25 08 	953
2017-05-25 09 	457
2017-05-25 10 	104
2017-05-25 11 	1
2017-05-25 14 	267
2017-05-25 15 	60
2017-05-25 16 	5
2017-05-26 00 	112
2017-05-26 05 	332
2017-05-26 06 	1177
2017-05-26 07 	947
2017-05-26 08 	909
2017-05-26 09 	421
2017-05-26 10 	100
2017-05-26 14 	279
2017-05-26 15 	71
2017-05-26 16 	14
2017-05-26 17 	1
2017-05-27 00 	133
2017-05-27 05 	333
2017-05-27 06 	1184
2017-05-27 07 	984
2017-05-27 08 	917
2017-05-27 09 	424
2017-05-27 10 	89
2017-05-27 11 	12
2017-05-27 14 	312
2017-05-27 15 	71
2017-05-27 16 	14
2017-05-28 00 	150
